Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12618,CA-2017-212321,11/16/2016,11/20/2016,Second Class,BG-11740,United States,Auburn,Washington,98002,West,OFF-AR-10001897,OfficeSupply,Art,Model L Table or Wall-Mount Pencil Sharpener,0.01,3,,-0.0033
12619,CA-2017-128744,01/08/2014,01/11/2014,Same Day,SG-20080,United States,Detroit,Michigan,48234,Central,TEC-CO-10004115,Tech,Copiers,Sharp AL-1530CS Digital Copier,497.0913,14,0.0,28.5634
12620,CA-2014-184096,10/06/2016,10/12/2016,First Class,AS-10045,United States,Gaithersburg,Maryland,20877,East,OFF-BI-10003684,OfficeSupply,Binders,Wilson Jones Legal Size Ring Binders,234.6967,14,0.1,
12621,US-2014-626204,07/18/2015,07/24/2015,Second Class,DD-13570,United States,La Mesa,California,91941,--,OFF-PA-10003543,OfficeSupply,Paper,Xerox 1985,173.6489,14,0.3,24.5382
12622,US-2014-808197,12/25/2016,12/26/2016,Second Class,BD-11605,United States,Modesto,California,95351,West,TEC-PH-10001468,technologies,Phones,Panasonic Business Telephones KX-T7736,1212.5338,11,0.8,-629.6133
12623,US-2016-469032,09/08/2017,09/12/2017,Second Class,LB-16795,United States,Covington,Washington,98042,West,TEC-PH-10001795,Tech,Phones,ClearOne CHATAttach 160 - speaker phone,0.01,3,0.7,-0.0031
12624,US-2015-637773,01/12/2014,01/13/2014,Standard Class,DB-13405,United States,Mcallen,Texas,78501,Central,OFF-AR-10000657,OfficeSupply,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",0.01,14,0.5,-0.0022
12625,US-2014-873625,05/13/2014,05/18/2014,Same Day,NG-18430,United States,Sunnyvale,California,94086,West,OFF-PA-10003971,OfficeSupply,Paper,Xerox 1965,0.01,3,0.8,-0.0021
12626,CA-2016-292718,02/06/2015,02/06/2015,Same Day,KH-16510,United States,Tamarac,Florida,33319,South,OFF-PA-10000919,OfficeSupply,Paper,Xerox 1918,0.01,10,0.3,-0.0033
12627,US-2014-569770,07/14/2017,07/21/2017,Same Day,BH-11710,United States,Washington,District of Columbia,20016,East,OFF-AR-10000588,OfficeSupply,Art,Newell 345,0.01,9,0.1,0.0025
12628,CA-2015-739067,04/06/2014,04/07/2014,Second Class,BF-11080,United States,Bossier City,Louisiana,71111,South,FUR-FU-10003731,Furni,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",0.01,2,0.3,0.0002
12629,US-2017-848584,01/03/2015,01/03/2015,Same Day,AS-10225,United States,Lindenhurst,New York,11757,East,OFF-FA-10004854,OfficeSupply,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",653.8527,2,0.45,-64.4133
